id,name,team,age,height,games,points,rebounds,assists
283,Tim Legler,WAS,30,193.04,15,2.9,1.4,0.5
284,Todd Day,BOS,27,198.12,81,14.5,4.1,1.4
285,Todd Fuller,GSW,22,210.82,75,4,3.3,0.3
286,Tom Chambers,CHH,38,208.28,12,1.6,1.2,0.3
287,Tom Gugliotta,MIN,27,208.28,81,20.6,8.7,4.1
288,Tom Hammonds,DEN,30,205.74,81,6.2,5,0.8
289,Toni Kukoc,CHI,28,210.82,57,13.2,4.6,4.5
290,Tony Delk,CHH,23,187.96,61,5.4,1.6,1.6
291,Tony Dumas,PHX,24,198.12,24,3.6,0.7,1
292,Steve Kerr,CHI,31,190.5,82,8.1,1.6,2.1
293,Reggie Williams,NJN,33,201,13,5.8,2.4,0.8
294,Reggie Slater,TOR,26,200.66,26,7.8,3.7,0.8
295,Reggie Miller,IND,31,200.66,81,21.6,3.5,3.4
296,Lindsey Hunter,DET,26,187.96,82,14.2,2.8,1.9
297,Lionel Simmons,SAC,28,200.66,41,3.4,2.5,1.4
298,Litterial Green,DET,27,185.42,45,2,0.5,0.9
299,Tony Smith,CHH,29,193.04,69,5,1.4,2.2
300,Loren Meyer,PHX,24,208.28,54,4.9,2.7,0.4
301,Lorenzen Wright,LAC,21,210.82,77,7.3,6.1,0.6
302,Lorenzo Williams,WAS,27,205.74,19,2.4,3.6,0.2
303,Lou Roe,GSW,24,200.66,17,2.4,0.8,0.4
304,Loy Vaught,LAC,29,205.74,82,14.9,10,1.3
305,Lee Mayberry,VAN,27,185.42,80,5.1,1.7,4.1
306,Luc Longley,CHI,28,218.44,59,9.1,5.6,2.4
307,Mahmoud Abdul-Rauf,SAC,28,185.42,75,13.7,1.6,2.5
308,Malik Rose,CHH,22,200.66,54,3,3,0.6
309,Malik Sealy,LAC,27,203.2,80,13.5,3,2.1
310,Marcus Brown,POR,23,190.5,21,3.9,0.7,1
311,Marcus Camby,TOR,23,210.82,63,14.8,6.3,1.5
312,Mario Elie,HOU,33,195.58,78,11.7,3,4
313,Mark Bradtke,PHI,28,208.28,36,1.6,1.9,0.2
314,Mark Bryant,PHX,32,205.74,41,9.3,5.2,1.1
315,Mark Davis,PHI,24,200.66,75,8.5,4.3,1.8
316,Lucious Harris,PHI,26,195.58,54,5.4,1.3,0.9
317,Lawrence Moten,VAN,25,195.58,67,6.7,1.8,1.9
318,Latrell Sprewell,GSW,26,195.58,80,24.2,4.6,6.3
319,Larry Stewart,SEA,28,203.2,70,4.3,2.4,0.7
320,Keith Tower,MIL,27,210.82,5,1.4,1.8,0.2
321,Ken Norman,ATL,32,203.2,17,3.8,2.3,0.7
322,Kendall Gill,NJN,29,195.58,82,21.8,6.1,4
323,Kenny Anderson,POR,26,185.42,82,17.5,4.4,7.1
324,Kenny Smith,DEN,32,190.5,48,6.3,0.9,2.4
325,Kerry Kittles,NJN,23,195.58,82,16.4,3.9,3
326,Kevin Duckworth,LAC,33,213.36,26,4,2.3,0.6
327,Kevin Edwards,NJN,31,190.5,32,5.9,1.3,1.8
328,Kevin Gamble,SAC,31,195.58,62,5,1.7,1.2
329,Kevin Garnett,MIN,21,210.82,77,17,8,3.1
330,Kevin Johnson,PHX,31,185.42,70,20.1,3.6,9.3
331,Kevin Salvadori,SAC,26,213.36,23,1.6,1.1,0.4
332,Kevin Willis,HOU,34,213.36,75,11.2,7.5,0.9
333,Khalid Reeves,DAL,24,190.5,63,8.2,1.9,3.6
334,Kobe Bryant,LAL,18,200.66,71,7.6,1.9,1.3
335,Kurt Thomas,MIA,24,205.74,18,6.3,5.9,0.5
336,LaPhonso Ellis,DEN,27,203.2,55,21.9,7,2.4
337,LaSalle Thompson,IND,36,208.28,26,0.4,1.3,0.1
338,Lamond Murray,LAC,24,200.66,74,7.4,3.1,0.8
339,Larry Johnson,NYK,28,200.66,76,12.8,5.2,2.3
340,Larry Krystkowiak,LAL,32,205.74,3,1,1.7,1
341,Mark Hendrickson,PHI,23,205.74,29,2.9,3.2,0.1
342,Mark Jackson,IND,32,190.5,82,9.9,4.8,11.4
343,Mark Price,GSW,33,182.88,70,11.3,2.6,4.9
344,Mark Strickland,MIA,26,208.28,31,2,1.2,0
345,Nick Anderson,ORL,29,198.12,63,12,4.8,2.9
346,Nick Van Exel,LAL,25,185.42,79,15.3,2.9,8.5
347,Olden Polynice,SAC,32,213.36,82,12.5,9.4,2.2
348,Oliver Miller,TOR,27,205.74,61,4.8,5,1.4
349,Othella Harrington,HOU,23,205.74,57,4.8,3.5,0.3
350,Otis Thorpe,DET,34,208.28,79,13.1,7.9,1.7
351,P.J. Brown,MIA,27,210.82,80,9.5,8.4,1.2
352,Patrick Ewing,NYK,34,213.36,78,22.4,10.7,2
353,Pervis Ellison,BOS,30,205.74,6,2.5,4.3,0.7
354,Pete Chilcutt,VAN,28,208.28,54,3.4,2.9,0.9
355,Pooh Richardson,LAC,31,185.42,59,5.6,1.7,2.9
356,Popeye Jones,TOR,27,203.2,79,7.8,8.6,1.1
357,Priest Lauderdale,ATL,23,223.52,35,3.2,1.2,0.3
358,Rafael Addison,CHH,32,203.2,41,3.1,1.1,0.8
359,Randolph Childress,DET,24,187.96,23,1.7,0.3,0.7
360,Randy Brown,CHI,29,187.96,72,4.7,1.5,1.8
361,Rasheed Wallace,POR,22,210.82,62,15.1,6.8,1.2
362,Ray Allen,MIL,21,195.58,82,13.4,4,2.6
363,Ray Owes,GSW,24,205.74,57,3.1,2.9,0.3
364,Reggie Geary,CLE,23,187.96,39,1.5,0.4,0.9
365,Reggie Jordan,MIN,29,193.04,19,2.1,1.4,0.6
366,Nate McMillan,SEA,32,195.58,37,4.6,3.2,3.8
367,Karl Malone,UTA,33,205.74,82,27.4,9.9,4.5
368,Nate Driggers,BOS,23,195.58,15,2.4,1.5,0.4
369,Mookie Blaylock,ATL,30,185.42,78,17.4,5.3,5.9
370,Mark West,CLE,36,208.28,70,3.2,2.7,0.3
371,Martin Lewis,TOR,22,198.12,9,1.6,0.7,0.4
372,Martin Muursepp,DAL,22,205.74,42,3.7,1.6,0.5
373,Marty Conlon,BOS,29,210.82,74,7.8,4.4,1.4
