id,name,team,age,height,games,points,rebounds,assists
11062,Marvin Williams,MIL,34,203.2,58,5.9,3.2,1
11063,Mason Plumlee,DEN,30,210.82,61,7.2,5.2,2.5
11064,Matisse Thybulle,PHI,23,195.58,65,4.7,1.6,1.2
11065,Matt Mooney,CLE,23,187.96,4,0.5,0.8,0.3
11066,Matt Thomas,TOR,25,193.04,41,4.9,1.5,0.5
11067,Matthew Dellavedova,CLE,29,190.5,57,3.1,1.3,3.2
11068,Maurice Harkless,NYK,27,200.66,62,5.8,3.9,1.1
11069,Max Strus,CHI,24,195.58,2,2.5,0.5,0
11070,Maxi Kleber,DAL,28,208.28,74,9.1,5.2,1.2
11071,Melvin Frazier Jr.,ORL,23,195.58,19,2.1,0.5,0.2
11072,Meyers Leonard,MIA,28,213.36,51,6.1,5.1,1.1
11073,Mfiondu Kabengele,LAC,22,205.74,12,3.5,0.9,0.2
11074,Michael Carter-Williams,ORL,28,195.58,45,7.2,3.3,2.4
11075,Michael Frazier II,HOU,26,190.5,13,2.1,0.8,0.2
11076,Michael Porter Jr.,DEN,22,208.28,55,9.3,4.7,0.8
11077,Mikal Bridges,PHX,23,198.12,73,9.1,4,1.8
11078,Mike Conley,UTA,32,185.42,47,14.4,3.2,4.4
11079,Mike Muscala,OKC,28,208.28,47,4.8,2.3,0.9
11080,Mike Scott,PHI,31,200.66,68,6,3.6,0.8
11081,Miles Bridges,CHA,22,198.12,65,13,5.6,1.8
11082,Mitchell Robinson,NYK,22,213.36,61,9.7,7,0.6
11083,Marvin Bagley III,SAC,21,210.82,13,14.2,7.5,0.8
11084,Miye Oni,UTA,22,195.58,10,3.5,1.7,0.4
11085,Marquese Chriss,GSW,22,205.74,59,9.3,6.2,1.9
11086,Marko Guduric,MEM,25,198.12,44,3.9,1.7,1
11087,Lou Williams,LAC,33,185.42,65,18.2,3.1,5.6
11088,Rodions Kurucs,BKN,22,205.74,47,4.6,2.9,1.1
11089,Louis King,DET,21,200.66,10,2,1,0.5
11090,Luc Mbah a Moute,HOU,33,203.2,3,1.7,0.7,0
11091,Luguentz Dort,OKC,21,190.5,36,6.8,2.3,0.8
11092,Luka Doncic,DAL,21,200.66,61,28.8,9.4,8.8
11093,Luka Samanic,SAS,20,208.28,3,5.3,3.3,2
11094,Luke Kennard,DET,24,195.58,28,15.8,3.5,4.1
11095,Luke Kornet,CHI,24,218.44,36,6,2.3,0.9
11096,Malcolm Brogdon,IND,27,195.58,54,16.5,4.9,7.1
11097,Malcolm Miller,TOR,27,200.66,28,1.3,0.6,0.4
11098,Malik Beasley,MIN,23,193.04,55,11.2,2.7,1.4
11099,Malik Monk,CHA,22,190.5,55,10.3,2.9,2.1
11100,Malik Newman,CLE,23,190.5,1,2,0,0
11101,Marc Gasol,TOR,35,210.82,44,7.5,6.3,3.3
11102,Marco Belinelli,SAS,34,195.58,57,6.3,1.7,1.2
11103,Marcus Morris Sr.,LAC,30,203.2,62,16.7,5,1.4
11104,Marcus Smart,BOS,26,190.5,60,12.9,3.8,4.9
11105,Marial Shayok,PHI,24,195.58,4,2.8,1.8,0.3
11106,Markelle Fultz,ORL,22,190.5,72,12.1,3.3,5.1
11107,Markieff Morris,LAL,30,203.2,58,9.7,3.8,1.3
11108,Marques Bolden,CLE,22,208.28,1,0,2,0
11109,Mo Bamba,ORL,22,213.36,62,5.4,4.9,0.7
11110,Mario Hezonja,POR,25,203.2,53,4.8,3.5,0.9
11111,Montrezl Harrell,LAC,26,200.66,63,18.6,7.1,1.7
11112,PJ Dozier,DEN,23,198.12,29,5.8,1.9,2.2
11113,Pascal Siakam,TOR,26,205.74,60,22.9,7.3,3.5
11114,Pat Connaughton,MIL,27,195.58,67,5.4,4.2,1.6
11115,Patrick Beverley,LAC,31,185.42,51,7.9,5.2,3.6
11116,Patrick McCaw,TOR,24,200.66,37,4.6,2.3,2.1
11117,Patrick Patterson,LAC,31,203.2,59,4.9,2.6,0.7
11118,Patty Mills,SAS,31,185.42,66,11.6,1.6,1.8
11119,Paul George,LAC,30,203.2,48,21.5,5.7,3.9
11120,Paul Millsap,DEN,35,200.66,51,11.6,5.7,1.6
11121,Paul Watson,TOR,25,198.12,10,3.1,1.7,0.8
11122,P.J. Washington,CHA,21,200.66,58,12.2,5.4,2.1
11123,Quinndary Weatherspoon,SAS,23,190.5,11,1.1,0.6,1
11124,Rajon Rondo,LAL,34,185.42,48,7.1,3,5
11125,Raul Neto,PHI,28,185.42,54,5.1,1.1,1.8
11126,Rayjon Tucker,UTA,22,190.5,20,3.1,1,0.3
11127,Reggie Bullock,NYK,29,198.12,29,8.1,2.3,1.4
11128,Reggie Jackson,LAC,30,190.5,31,11.9,3,4.1
11129,Richaun Holmes,SAC,26,208.28,44,12.3,8.1,1
11130,Ricky Rubio,PHX,29,190.5,65,13,4.7,8.8
11131,Monte Morris,DEN,25,187.96,73,9,1.9,3.5
11132,Robert Williams III,BOS,22,203.2,29,5.2,4.4,0.9
11133,Robert Covington,HOU,29,200.66,70,12.4,6.6,1.3
11134,RJ Barrett,NYK,20,198.12,56,14.3,5,2.6
11135,P.J. Tucker,HOU,35,195.58,72,6.9,6.6,1.6
11136,Quinn Cook,LAL,27,185.42,44,5.1,1.2,1.1
11137,Oshae Brissett,TOR,22,200.66,19,1.9,1.4,0.4
11138,Moritz Wagner,WAS,23,210.82,45,8.7,4.9,1.2
11139,Moses Brown,POR,20,218.44,9,1.2,1.6,0.1
11140,Mychal Mulder,GSW,26,190.5,7,11,3.3,1.1
11141,Otto Porter Jr.,CHI,27,203.2,14,11.9,3.4,1.8
11142,Myles Turner,IND,24,210.82,62,12.1,6.6,1.2
11143,Nassir Little,POR,20,195.58,48,3.6,2.3,0.5
11144,Naz Mitrou-Long,IND,26,190.5,5,2.8,1.4,1.6
11145,Naz Reid,MIN,20,205.74,30,9,4.1,1.2
11146,Nerlens Noel,OKC,26,208.28,61,7.4,4.9,0.9
11147,Nickeil Alexander-Walker,NOP,21,195.58,47,5.7,1.8,1.9
11148,Nicolas Batum,CHA,31,205.74,22,3.6,4.5,3
11149,Nemanja Bjelica,SAC,32,208.28,72,11.5,6.4,2.8
11150,Nicolo Melli,NOP,29,205.74,60,6.6,3,1.4
11151,Omari Spellman,MIN,22,203.2,49,7.6,4.5,1
11152,Nigel Williams-Goss,UTA,25,187.96,10,1.4,0.6,0.6
11153,OG Anunoby,TOR,22,200.66,69,10.6,5.3,1.6
11154,Nikola Jokic,DEN,25,213.36,73,19.9,9.7,7
11155,Nikola Vucevic,ORL,29,210.82,62,19.6,10.9,3.6
11156,Noah Vonleh,DEN,24,208.28,36,3.7,3.4,0.8
11157,Norvel Pelle,PHI,27,208.28,24,2.4,3,0.3
11158,Nicolas Claxton,BKN,21,210.82,15,4.4,2.9,1.1
11159,Norman Powell,TOR,27,190.5,52,16,3.7,1.8
11160,Freddie Gillespie,TOR,24,205.74,20,5.6,4.9,0.5
11161,Gary Trent Jr.,TOR,22,195.58,58,15.3,2.6,1.4
11162,Gary Payton II,GSW,28,190.5,10,2.5,1.1,0.1
11163,Gary Harris,ORL,26,193.04,39,9.9,2,2
11164,Gary Clark,PHI,26,198.12,39,3.1,2.9,0.8
11165,Gabriel Deck,OKC,26,198.12,10,8.4,4,2.4
11166,Garrett Temple,CHI,35,195.58,56,7.6,2.9,2.2
11167,Gabe Vincent,MIA,25,190.5,50,4.8,1.1,1.3
11168,Frank Ntilikina,NYK,22,193.04,33,2.7,0.9,0.6
11169,George Hill,PHI,35,193.04,30,8.7,2,2.4
11170,Furkan Korkmaz,PHI,23,200.66,55,9.1,2.1,1.5
11171,Fred VanVleet,TOR,27,185.42,52,19.6,4.2,6.3
11172,Garrison Mathews,WAS,24,195.58,64,5.5,1.4,0.4
11173,Georges Niang,UTA,28,200.66,72,6.9,2.4,0.8
11174,Grayson Allen,MEM,25,193.04,50,10.6,3.2,2.2
11175,Glenn Robinson III,SAC,27,198.12,23,5.3,2,0.9
11176,Goga Bitadze,IND,21,210.82,45,5.1,3.3,0.8
11177,Goran Dragic,MIA,35,190.5,50,13.4,3.4,4.4
11178,Gordon Hayward,CHA,31,200.66,44,19.6,5.9,4.1
11179,Gorgui Dieng,SAS,31,208.28,38,6.8,3.7,1.3
11180,Grant Riller,CHA,24,187.96,7,2.6,0.1,0.4
11181,Grant Williams,BOS,22,198.12,63,4.7,2.8,1
11182,Greg Whittington,DEN,28,203.2,4,0,0,0
11183,Hamidou Diallo,DET,22,195.58,52,11.6,5.2,1.9
11184,Harrison Barnes,SAC,29,203.2,58,16.1,6.6,3.5
11185,Henry Ellenson,TOR,24,208.28,2,7.5,6,2.5
11186,Frank Mason,ORL,27,180.34,4,6.3,3,3
11187,Hassan Whiteside,SAC,32,213.36,36,8.1,6,0.6
11188,Harry Giles III,POR,23,210.82,38,2.8,3.5,0.8
11189,Giannis Antetokounmpo,MIL,26,210.82,61,28.1,11,5.9
11190,Frank Kaminsky,PHX,28,213.36,47,6.6,4,1.7
11191,Dorian Finney-Smith,DAL,28,200.66,60,9.8,5.4,1.7
11192,Facundo Campazzo,DEN,30,177.8,65,6.1,2.1,3.6
11193,Devontae Cacok,LAL,24,200.66,20,2,1.6,0.1
11194,Devonte' Graham,CHA,26,185.42,55,14.8,2.7,5.4
11195,Ignas Brazdeikis,ORL,22,198.12,13,7,3.5,1.3
11196,Dewayne Dedmon,MIA,31,213.36,16,7.1,5.4,0.8
11197,Didi Louzada,NOP,21,195.58,3,2.7,1,1
11198,Dillon Brooks,MEM,25,200.66,67,17.2,2.9,2.3
11199,Domantas Sabonis,IND,25,210.82,62,20.3,12,6.7
11200,Donovan Mitchell,UTA,24,185.42,53,26.4,4.4,5.2
11201,Donta Hall,ORL,23,208.28,13,5.6,4.8,0.8
11202,Donte DiVincenzo,MIL,24,193.04,66,10.4,5.8,3.1
11203,Doug McDermott,IND,29,200.66,66,13.6,3.3,1.3
11204,Draymond Green,GSW,31,198.12,63,7,7.1,8.9
11205,Drew Eubanks,SAS,24,205.74,54,5.8,4.5,0.8
11206,Duncan Robinson,MIA,27,200.66,72,13.1,3.5,1.8
11207,Frank Jackson,DET,23,190.5,40,9.8,2.2,0.9
11208,Dwayne Bacon,ORL,25,198.12,72,10.9,3.1,1.3
11209,Dwight Powell,DAL,29,208.28,58,5.9,4,1.1
11210,Dylan Windler,CLE,24,198.12,31,5.2,3.5,1.1
11211,E'Twaun Moore,PHX,32,190.5,27,4.9,1.7,1.5
11212,Ed Davis,MIN,32,205.74,23,2.1,5,0.9
11213,Edmond Sumner,IND,25,193.04,53,7.5,1.8,0.9
11214,Elfrid Payton,NYK,27,190.5,63,10.1,3.4,3.2
11215,Elijah Bryant,MIL,26,195.58,1,16,6,3
11216,Elijah Hughes,UTA,23,195.58,18,1.7,0.5,0.3
11217,Enes Kanter,POR,29,208.28,72,11.2,11,1.2
11218,Eric Bledsoe,NOP,31,185.42,71,12.2,3.4,3.8
11219,Eric Gordon,HOU,32,190.5,27,17.8,2.1,2.6
11220,Eric Paschall,GSW,24,198.12,40,9.5,3.2,1.3
11221,Ersan Ilyasova,UTA,34,205.74,17,3.8,1.7,0.2
11222,Evan Fournier,BOS,28,200.66,42,17.1,3,3.4
11223,Dwight Howard,PHI,35,208.28,69,7,8.4,0.9
11224,Iman Shumpert,BKN,31,195.58,2,1,0.5,0
11225,Jayson Tatum,BOS,23,203.2,64,26.4,7.4,4.3
11226,Isaac Bonga,WAS,21,203.2,40,2,1.7,0.6
11227,Jaren Jackson Jr.,MEM,21,210.82,11,14.4,5.6,1.1
11228,Jarred Vanderbilt,MIN,22,205.74,64,5.4,5.8,1.2
11229,Jarrell Brantley,UTA,25,195.58,28,2.3,1,0.5
11230,Jarrett Allen,CLE,23,210.82,63,12.8,10,1.7
11231,Jarrett Culver,MIN,22,198.12,34,5.3,3.1,0.7
11232,Javonte Green,CHI,27,193.04,41,3.6,1.7,0.4
11233,Jaxson Hayes,NOP,21,210.82,60,7.5,4.3,0.6
11234,Jay Scrubb,LAC,20,195.58,4,8.8,3.5,0.3
11235,Jaylen Adams,MIL,25,182.88,7,0.3,0.4,0.3
11236,Jaylen Brown,BOS,24,198.12,58,24.7,6,3.4
11237,Jaylen Hoard,OKC,22,203.2,19,6.1,3.4,1.3
11238,Jaylen Nowell,MIN,21,193.04,42,9,2.3,1.5
11239,Jeff Green,BKN,34,203.2,68,11,3.9,1.6
11240,Jeff Teague,MIL,33,190.5,55,6.7,1.6,2.4
11241,Jared Harper,NYK,23,177.8,8,0.4,0.3,0.1
11242,Jerami Grant,DET,27,203.2,54,22.3,4.6,2.8
11243,Jeremy Lamb,IND,29,195.58,36,10.1,3.6,1.5
11244,Jerome Robinson,WAS,24,193.04,17,4.9,2.2,1.5
11245,Jevon Carter,PHX,25,185.42,60,4.1,1.5,1.2
11246,Jimmy Butler,MIA,31,200.66,52,21.5,6.9,7.1
11247,Joe Harris,BKN,29,198.12,69,14.1,3.6,1.9
11248,Joe Ingles,UTA,33,203.2,67,12.1,3.6,4.7
11249,Joel Embiid,PHI,27,213.36,51,28.5,10.6,2.8
11250,John Collins,ATL,23,205.74,63,17.6,7.4,1.2
11251,John Konchar,MEM,25,195.58,43,4.3,3,1.1
11252,John Wall,HOU,30,190.5,40,20.6,3.2,6.9
11253,Jonas Valanciunas,MEM,29,210.82,62,17.1,12.5,1.8
11254,Jontay Porter,MEM,21,210.82,11,2,1.3,0.1
11255,Devon Dotson,CHI,21,187.96,11,2.1,0.5,0.6
11256,Jordan Bell,GSW,26,203.2,6,2.5,4,1.2
11257,Jeremiah Martin,CLE,25,187.96,9,2.4,0.8,0.4
11258,Immanuel Quickley,NYK,22,190.5,64,11.4,2.1,2
11259,Jared Dudley,LAL,35,198.12,12,0.5,1.8,0.4
11260,James Nunnally,NOP,30,200.66,9,1.7,1,0.3
11261,Isaac Okoro,CLE,20,195.58,67,9.6,3.1,1.9
11262,Isaiah Hartenstein,CLE,23,213.36,46,5.1,3.9,1.2
11263,Isaiah Joe,PHI,21,193.04,41,3.7,0.9,0.5
11264,Isaiah Roby,OKC,23,203.2,61,8.7,5.6,1.8
11265,Isaiah Stewart,DET,20,203.2,68,7.9,6.7,0.9
11266,Isaiah Thomas,NOP,32,175.26,3,7.7,1.3,1.7
11267,Ish Smith,WAS,32,182.88,44,6.7,3.4,3.9
11268,Ivica Zubac,LAC,24,213.36,72,9,7.2,1.3
11269,JJ Redick,DAL,37,190.5,44,7.4,1.5,1.2
11270,Ja Morant,MEM,21,190.5,63,19.1,4,7.4
11271,JaKarr Sampson,IND,28,200.66,29,4.6,2.7,0.1
11272,JaMychal Green,DEN,31,203.2,58,8.1,4.8,0.9
11273,JaVale McGee,DEN,33,213.36,46,7.3,5.2,0.8
11274,Jabari Parker,BOS,26,203.2,13,5.5,3.2,0.8
11275,James Wiseman,GSW,20,213.36,39,11.5,5.8,0.7
11276,Jaden McDaniels,MIN,20,205.74,63,6.8,3.7,1.1
11277,Jae'Sean Tate,HOU,25,193.04,70,11.3,5.3,2.5
11278,Jahlil Okafor,DET,25,208.28,27,5.4,2.4,0.5
11279,Jahmi'us Ramsey,SAC,20,190.5,13,3.1,0.8,0.5
11280,Jake Layman,MIN,27,203.2,45,5.1,1.5,0.6
11281,Jakob Poeltl,SAS,25,215.9,69,8.6,7.9,1.9
11282,Jalen Brunson,DAL,24,185.42,68,12.6,3.4,3.5
11283,Jalen Harris,TOR,22,195.58,13,7.4,1.4,1.3
11284,Jalen Lecque,IND,21,193.04,4,1.3,1.3,0.5
11285,Jalen McDaniels,CHA,23,205.74,47,7.4,3.6,1.1
11286,Jalen Smith,PHX,21,208.28,27,2,1.4,0.1
11287,Jamal Murray,DEN,24,190.5,48,21.2,4,4.8
11288,James Ennis III,ORL,30,198.12,41,8.4,4,1.5
11289,James Harden,BKN,31,195.58,44,24.6,7.9,10.8
11290,James Johnson,NOP,34,200.66,51,7.2,3.5,1.9
11291,Jae Crowder,PHX,30,198.12,60,10.1,4.7,2.1
11292,Devin Vassell,SAS,20,195.58,62,5.5,2.8,0.9
11293,Bam Adebayo,MIA,23,205.74,64,18.7,9,5.4
11294,Devin Booker,PHX,24,195.58,67,25.6,4.2,4.3
11295,Axel Toupane,MIL,28,200.66,8,1.8,0.8,0.5
11296,Jordan Bone,ORL,23,187.96,14,4,1.7,1.3
11297,Ben McLemore,LAL,28,190.5,53,7.7,1.9,0.7
11298,Ben Simmons,PHI,24,210.82,58,14.3,7.2,6.9
11299,Bismack Biyombo,CHA,28,203.2,66,5,5.3,1.2
11300,Blake Griffin,BKN,32,205.74,46,11,4.9,3
11301,Boban Marjanovic,DAL,32,223.52,33,4.7,3.9,0.3
11302,Bobby Portis,MIL,26,208.28,66,11.4,7.1,1.1
11303,Bogdan Bogdanovic,ATL,28,198.12,44,16.4,3.6,3.3
11304,Bojan Bogdanovic,UTA,32,200.66,72,17,3.9,1.9
11305,Bol Bol,DEN,21,218.44,32,2.2,0.8,0.2
11306,Brad Wanamaker,CHA,31,190.5,61,5.5,1.7,2.9
11307,Bradley Beal,WAS,28,190.5,60,31.3,4.7,4.4
11308,Brandon Clarke,MEM,24,203.2,59,10.3,5.6,1.6
11309,Avery Bradley,HOU,30,190.5,27,6.4,2.1,1.7
11310,Brandon Goodwin,ATL,25,182.88,47,4.9,1.5,2
11311,Brian Bowen II,IND,22,198.12,6,0.5,0.5,0
11312,Brodric Thomas,CLE,24,195.58,32,3.9,1.7,0.9
11313,Brook Lopez,MIL,33,213.36,70,12.3,5,0.7
11314,Bruce Brown,BKN,24,193.04,65,8.8,5.4,1.6
11315,Bruno Caboclo,HOU,25,205.74,6,2.8,2.3,0.2
11316,Bruno Fernando,ATL,22,205.74,33,1.5,2.4,0.3
11317,Bryn Forbes,MIL,27,187.96,70,10,1.6,0.6
11318,Buddy Hield,SAC,28,193.04,71,16.6,4.7,3.6
11319,CJ Elleby,POR,21,198.12,30,2.3,1.1,0.3
11320,CJ McCollum,POR,29,190.5,47,23.1,3.9,4.7
11321,Caleb Martin,CHA,25,195.58,53,5,2.7,1.3
11322,Cam Reddish,ATL,21,203.2,26,11.2,4,1.3
11323,Cameron Johnson,PHX,25,203.2,60,9.6,3.3,1.4
11324,Cameron Oliver,HOU,24,203.2,4,10.8,5.3,1.3
11325,Brandon Ingram,NOP,23,203.2,61,23.8,4.9,4.9
11326,Cameron Payne,PHX,26,185.42,60,8.4,2.4,3.6
11327,Austin Rivers,DEN,28,193.04,36,7.9,2.3,2.3
11328,Aron Baynes,TOR,34,208.28,53,6.1,5.2,0.9
11329,Zion Williamson,NOP,20,200.66,61,27,7.2,3.7
11330,Aaron Gordon,DEN,25,203.2,50,12.4,5.7,3.2
11331,Aaron Holiday,IND,24,182.88,66,7.2,1.3,1.9
11332,Aaron Nesmith,BOS,21,195.58,46,4.7,2.8,0.5
11333,Abdel Nader,PHX,27,195.58,24,6.7,2.6,0.8
11334,Adam Mokoka,CHI,22,193.04,14,1.1,0.4,0.4
11335,Al Horford,BOS,35,205.74,28,14.2,6.7,3.4
11336,Al-Farouq Aminu,CHI,30,203.2,23,4.4,4.8,1.3
11337,Alec Burks,NYK,29,198.12,49,12.7,4.6,2.2
11338,Aleksej Pokusevski,OKC,19,213.36,45,8.2,4.7,2.2
11339,Alen Smailagic,GSW,20,208.28,15,1.9,1.1,0.3
11340,Alex Caruso,LAL,27,193.04,58,6.4,2.9,2.8
11341,Alex Len,WAS,28,213.36,64,6.6,4.1,0.8
11342,Alfonzo McKinnie,LAL,28,200.66,39,3.1,1.4,0.2
11343,Ashton Hagans,MIN,21,190.5,2,0,0,0
11344,Alize Johnson,BKN,25,200.66,18,5.2,5,0.8
11345,Amir Coffey,LAC,24,200.66,44,3.2,1,0.5
11346,Anderson Varejao,CLE,38,210.82,5,2.6,4,0.6
11347,Andre Drummond,LAL,27,208.28,46,14.9,12,2
11348,Andre Iguodala,MIA,37,198.12,63,4.4,3.5,2.3
11349,Andre Roberson,BKN,29,200.66,5,1.2,3,0.8
11350,Andrew Wiggins,GSW,26,200.66,71,18.6,4.9,2.4
11351,Anfernee Simons,POR,22,190.5,64,7.8,2.2,1.4
11352,Anthony Davis,LAL,28,208.28,36,21.8,7.9,3.1
11353,Anthony Edwards,MIN,19,193.04,72,19.3,4.7,2.9
11354,Anthony Gill,WAS,28,200.66,26,3.1,2,0.4
11355,Anthony Lamb,HOU,23,198.12,24,5.5,2.9,1
11356,Anthony Tolliver,PHI,36,203.2,11,1.5,0.9,0.2
11357,Anzejs Pasecniks,WAS,25,215.9,1,0,1,1
11358,Armoni Brooks,HOU,23,190.5,20,11.2,3.4,1.5
11359,Amida Brimah,IND,27,208.28,5,2.6,1.6,0.2
11360,Cameron Reynolds,HOU,26,200.66,5,3,1,0.4
11361,Caris LeVert,IND,26,198.12,47,20.2,4.6,5.2
11362,Carmelo Anthony,POR,37,200.66,69,13.4,3.1,1.5
11363,Danny Green,PHI,34,198.12,69,9.5,3.8,1.7
11364,Dante Exum,HOU,25,195.58,6,3.8,2.8,2.2
11365,Danuel House Jr.,HOU,28,198.12,36,8.8,3.7,1.9
11366,Dario Saric,PHX,27,208.28,50,8.7,3.8,1.3
11367,Darius Bazley,OKC,21,203.2,55,13.7,7.2,1.8
11368,Darius Garland,CLE,21,185.42,54,17.4,2.4,6.1
11369,Darius Miller,OKC,31,198.12,18,4.1,1.3,1.2
11370,David Nwaba,HOU,28,195.58,30,9.2,3.9,1
11371,Davis Bertans,WAS,28,208.28,57,11.5,2.9,0.9
11372,De'Aaron Fox,SAC,23,190.5,58,25.2,3.5,7.2
11373,De'Andre Hunter,ATL,23,203.2,23,15,4.8,1.9
11374,De'Anthony Melton,MEM,23,187.96,52,9.1,3.1,2.5
11375,DeAndre Jordan,BKN,32,210.82,57,7.5,7.5,1.6
11376,DeAndre' Bembry,TOR,26,195.58,51,5.7,2.9,2.1
11377,Danilo Gallinari,ATL,32,208.28,51,13.3,4.1,1.5
11378,DeMar DeRozan,SAS,31,198.12,61,21.6,4.2,6.9
11379,Dean Wade,CLE,24,205.74,63,6,3.4,1.2
11380,Deandre Ayton,PHX,22,210.82,69,14.4,10.5,1.4
11381,Deividas Sirvydis,DET,21,203.2,20,2.1,1.5,0.3
11382,Dejounte Murray,SAS,24,193.04,67,15.7,7.1,5.4
11383,Delon Wright,SAC,29,195.58,63,10.2,4.3,4.4
11384,Deni Avdija,WAS,20,205.74,54,6.3,4.9,1.2
11385,Dennis Schroder,LAL,27,190.5,61,15.4,3.5,5.8
11386,Dennis Smith Jr.,DET,23,187.96,23,6.7,2.4,3.3
11387,Denzel Valentine,CHI,27,193.04,62,6.5,3.2,1.7
11388,Derrick Favors,UTA,29,205.74,68,5.4,5.5,0.6
11389,Derrick Jones Jr.,POR,24,195.58,58,6.8,3.5,0.8
11390,Derrick Rose,NYK,32,187.96,50,14.7,2.6,4.2
11391,Derrick White,SAS,26,193.04,36,15.4,3,3.5
11392,Desmond Bane,MEM,23,195.58,68,9.2,3.1,1.7
11393,DeMarcus Cousins,LAC,30,208.28,41,8.9,6.4,1.9
11394,Daniel Theis,CHI,29,203.2,65,9.6,5.5,1.7
11395,Daniel Oturu,LAC,21,203.2,30,1.8,1.6,0.3
11396,Daniel Gafford,WAS,22,208.28,54,7,4.3,0.5
11397,Carsen Edwards,BOS,23,180.34,31,4,0.8,0.5
11398,Cassius Stanley,IND,21,195.58,24,1.5,0.8,0
11399,Cassius Winston,WAS,23,185.42,22,1.9,0.4,0.5
11400,Cedi Osman,CLE,26,200.66,59,10.4,3.4,2.9
11401,Chandler Hutchison,WAS,25,198.12,25,4.3,3.1,0.7
11402,Charlie Brown Jr.,OKC,24,198.12,9,4.4,1.9,1
11403,Chasson Randle,ORL,28,187.96,41,6.5,2,1.8
11404,Chimezie Metu,SAC,24,205.74,36,6.3,3.1,0.8
11405,Chris Boucher,TOR,28,205.74,60,13.6,6.7,1.1
11406,Chris Chiozza,BKN,25,180.34,22,4,1.1,3
11407,Chris Paul,PHX,36,182.88,70,16.4,4.5,8.9
11408,Chris Silva,SAC,24,203.2,15,2.1,1.8,0.4
11409,Christian Wood,HOU,25,208.28,41,21,9.6,1.7
11410,Chuma Okeke,ORL,22,198.12,45,7.8,4,2.2
11411,Clint Capela,ATL,27,208.28,63,15.2,14.3,0.8
11412,Coby White,CHI,21,195.58,69,15.1,4.1,4.8
11413,Cody Martin,CHA,25,195.58,52,4,3.1,1.7
11414,Damyean Dotson,CLE,27,195.58,46,6.7,2,2
11415,Damion Lee,GSW,28,195.58,57,6.5,3.2,1.3
11416,Damian Lillard,POR,30,187.96,67,28.8,4.2,7.5
11417,Damian Jones,SAC,26,210.82,39,4.7,3.1,0.7
11418,Dakota Mathias,PHI,25,193.04,8,6,0.9,1.6
11419,DaQuan Jeffries,SAS,23,195.58,31,4.1,2.3,0.7
11420,Devin Cannady,ORL,25,187.96,8,4.3,0.6,0.1
11421,D.J. Wilson,HOU,25,208.28,35,5.2,3.2,0.7
11422,D'Angelo Russell,MIN,25,193.04,42,19,2.6,5.8
11423,Cristiano Felicio,CHI,28,210.82,18,1.3,1.4,0.5
11424,Cory Joseph,DET,29,190.5,63,8.2,2.5,3.4
11425,Collin Sexton,CLE,22,185.42,60,24.3,3.1,4.4
11426,Cole Anthony,ORL,21,187.96,47,12.9,4.7,4.1
11427,Cody Zeller,CHA,28,210.82,48,9.4,6.8,1.8
11428,D.J. Augustin,HOU,33,180.34,57,7.7,1.6,3.3
11429,Jordan Clarkson,UTA,29,193.04,68,18.4,4,2.5
11430,Marcus Smart,BOS,27,190.5,48,13.1,3.5,5.7
11431,Jordan Nwora,MIL,22,203.2,30,5.7,2,0.2
11432,Tristan Thompson,BOS,30,205.74,54,7.6,8.1,1.2
11433,Trey Lyles,SAS,25,205.74,23,5,3.7,0.6
11434,Trey Burke,DAL,28,182.88,62,6.6,0.9,1.3
11435,Trevor Ariza,MIA,36,203.2,30,9.4,4.8,1.8
11436,Trent Forrest,UTA,23,193.04,30,2.9,1.5,1.5
11437,Tremont Waters,BOS,23,177.8,26,3.8,0.8,2.4
11438,Tre Jones,SAS,21,185.42,37,2.5,0.6,1.1
11439,Trae Young,ATL,22,185.42,63,25.3,3.9,9.4
11440,Torrey Craig,PHX,30,200.66,50,5.5,3.9,1
11441,Tony Snell,ATL,29,198.12,47,5.3,2.4,1.3
11442,Tony Bradley,OKC,23,208.28,42,7.1,5.7,0.9
11443,Tomas Satoransky,CHI,29,200.66,58,7.7,2.4,4.7
11444,Tobias Harris,PHI,28,203.2,62,19.5,6.8,3.5
11445,Timothe Luwawu-Cabarrot,BKN,26,200.66,58,6.4,2.2,1.2
11446,Tim Hardaway Jr.,DAL,29,195.58,70,16.6,3.3,1.8
11447,Tim Frazier,MEM,30,182.88,5,1.6,1.6,3.2
11448,Thon Maker,CLE,24,213.36,8,3.8,2.3,0.5
11449,Thomas Bryant,WAS,23,208.28,10,14.3,6.1,1.5
11450,Theo Pinson,NYK,25,195.58,17,0.1,0.3,0.1
11451,Theo Maledon,OKC,20,193.04,65,10.1,3.2,3.5
11452,Thanasis Antetokounmpo,MIL,28,198.12,57,2.9,2.2,0.8
11453,Thaddeus Young,CHI,33,203.2,68,12.1,6.2,4.3
11454,Terry Rozier,CHA,27,185.42,69,20.4,4.4,4.2
11455,Terrence Ross,ORL,30,198.12,46,15.6,3.4,2.3
11456,Terrance Ferguson,PHI,23,198.12,13,0.2,0.1,0.2
11457,Terence Davis,SAC,24,193.04,61,8.7,2.5,1.4
11458,Terance Mann,LAC,24,195.58,67,7,3.6,1.6
11459,Taurean Prince,CLE,27,200.66,41,9.5,3.5,1.9
11460,Talen Horton-Tucker,LAL,20,193.04,65,9,2.6,2.8
